"id","zip_code","sid","default_state","default_city","default_type"
357,"01431",26,"MA","ASHBY","STANDARD"
358,"01432",26,"MA","AYER","STANDARD"
359,"01434",26,"MA","DEVENS","STANDARD"
360,"01436",26,"MA","BALDWINVILLE","STANDARD"
361,"01438",26,"MA","EAST TEMPLETON","PO BOX"
362,"01440",26,"MA","GARDNER","STANDARD"
363,"01441",26,"MA","WESTMINSTER","UNIQUE"
364,"01450",26,"MA","GROTON","STANDARD"
365,"01451",26,"MA","HARVARD","STANDARD"
366,"01452",26,"MA","HUBBARDSTON","STANDARD"
367,"01453",26,"MA","LEOMINSTER","STANDARD"
368,"01460",26,"MA","LITTLETON","STANDARD"
369,"01462",26,"MA","LUNENBURG","STANDARD"
370,"01463",26,"MA","PEPPERELL","STANDARD"
371,"01464",26,"MA","SHIRLEY","STANDARD"
372,"01467",26,"MA","STILL RIVER","PO BOX"
373,"01468",26,"MA","TEMPLETON","STANDARD"
374,"01469",26,"MA","TOWNSEND","STANDARD"
375,"01470",26,"MA","GROTON","UNIQUE"
376,"01471",26,"MA","GROTON","UNIQUE"
377,"01472",26,"MA","WEST GROTON","PO BOX"
378,"01473",26,"MA","WESTMINSTER","STANDARD"
379,"01474",26,"MA","WEST TOWNSEND","STANDARD"
380,"01475",26,"MA","WINCHENDON","STANDARD"
381,"01501",26,"MA","AUBURN","STANDARD"
382,"01503",26,"MA","BERLIN","STANDARD"
383,"01504",26,"MA","BLACKSTONE","STANDARD"
384,"01505",26,"MA","BOYLSTON","STANDARD"
385,"01506",26,"MA","BROOKFIELD","STANDARD"
386,"01507",26,"MA","CHARLTON","STANDARD"
387,"01508",26,"MA","CHARLTON CITY","PO BOX"
388,"01509",26,"MA","CHARLTON DEPOT","PO BOX"
389,"01510",26,"MA","CLINTON","STANDARD"
390,"01515",26,"MA","EAST BROOKFIELD","STANDARD"
391,"01516",26,"MA","DOUGLAS","STANDARD"
392,"01518",26,"MA","FISKDALE","STANDARD"
393,"01519",26,"MA","GRAFTON","STANDARD"
394,"01520",26,"MA","HOLDEN","STANDARD"
395,"01521",26,"MA","HOLLAND","STANDARD"
396,"01522",26,"MA","JEFFERSON","STANDARD"
397,"01523",26,"MA","LANCASTER","STANDARD"
398,"01524",26,"MA","LEICESTER","STANDARD"
399,"01525",26,"MA","LINWOOD","PO BOX"
400,"01526",26,"MA","MANCHAUG","PO BOX"
401,"01527",26,"MA","MILLBURY","STANDARD"
402,"01529",26,"MA","MILLVILLE","STANDARD"
403,"01531",26,"MA","NEW BRAINTREE","STANDARD"
404,"01532",26,"MA","NORTHBOROUGH","STANDARD"
405,"01534",26,"MA","NORTHBRIDGE","STANDARD"
406,"01535",26,"MA","NORTH BROOKFIELD","STANDARD"
407,"01536",26,"MA","NORTH GRAFTON","STANDARD"
408,"01537",26,"MA","NORTH OXFORD","STANDARD"
409,"01538",26,"MA","NORTH UXBRIDGE","PO BOX"
410,"01540",26,"MA","OXFORD","STANDARD"
411,"01541",26,"MA","PRINCETON","STANDARD"
412,"01542",26,"MA","ROCHDALE","STANDARD"
413,"01543",26,"MA","RUTLAND","STANDARD"
414,"01545",26,"MA","SHREWSBURY","STANDARD"
415,"01546",26,"MA","SHREWSBURY","UNIQUE"
416,"01550",26,"MA","SOUTHBRIDGE","STANDARD"
417,"01560",26,"MA","SOUTH GRAFTON","STANDARD"
418,"01561",26,"MA","SOUTH LANCASTER","PO BOX"
419,"01562",26,"MA","SPENCER","STANDARD"
420,"01564",26,"MA","STERLING","STANDARD"
421,"01566",26,"MA","STURBRIDGE","STANDARD"
422,"01568",26,"MA","UPTON","STANDARD"
423,"01569",26,"MA","UXBRIDGE","STANDARD"
424,"01570",26,"MA","WEBSTER","STANDARD"
425,"01571",26,"MA","DUDLEY","STANDARD"
426,"01581",26,"MA","WESTBOROUGH","STANDARD"
427,"01583",26,"MA","WEST BOYLSTON","STANDARD"
428,"01585",26,"MA","WEST BROOKFIELD","STANDARD"
429,"01586",26,"MA","WEST MILLBURY","PO BOX"
430,"01588",26,"MA","WHITINSVILLE","STANDARD"
431,"01590",26,"MA","SUTTON","STANDARD"
432,"01601",26,"MA","WORCESTER","PO BOX"
433,"01602",26,"MA","WORCESTER","STANDARD"
434,"01603",26,"MA","WORCESTER","STANDARD"
435,"01604",26,"MA","WORCESTER","STANDARD"
436,"01605",26,"MA","WORCESTER","STANDARD"
437,"01606",26,"MA","WORCESTER","STANDARD"
438,"01607",26,"MA","WORCESTER","STANDARD"
439,"01608",26,"MA","WORCESTER","STANDARD"
